2,1.8,0,6.610215
2,2,0,24.23534
2,1.6,0,2.982543
2,1.4,0,4.935281
2,2.6,1,3.973112
2,1.6,0,4.204363
2,2.6,1,10.45863
2,2.4,1,13.13233
2,2.4,1,7.28399
2,1.8,1,20.43432
2,2.2,1,6.321114
2,1.8,0,8.172435
2,1.4,0,9.451861
2,2.2,1,9.272884
2,1.6,0,6.747559
2,2.2,1,3.8392
2,1.4,0,6.516611
2,2.6,1,4.566198
2,2.4,1,4.740885
2,2.4,1,13.25514
2,2,0,8.794805
2,2.2,1,6.193145
2,1.4,0,3.292273
2,2.6,1,7.877985
2,2.4,1,19.49339
2,2,0,6.814143
2,1.6,0,10.304
2,1.4,0,7.540354
2,1.4,0,8.109641
2,1.6,0,5.27316
2,2.4,1,3.985433
2,1.4,0,3.636902
2,1.4,0,4.269565
2,1.8,0,15.58693
2,2,1,24.87807
2,2,1,23.98103
2,2,0,20.26974
2,2.4,1,10.44651
2,2.2,1,7.743571
2,2.4,1,12.1872
2,1.8,1,11.3783
2,1.8,0,11.78188
2,2,1,28.05273
2,1.4,0,3.755189
2,2.6,1,20.11764
2,1.8,0,9.721102
2,2,1,24.05525
2,1.6,0,6.402177
2,1.8,0,24.97674
2,2.2,1,14.75957
2,1.6,0,22.64716
2,2.6,1,18.17859
2,1.8,0,24.15689
2,2.6,1,9.372747
2,2,1,10.71608
2,1.6,0,11.21541
2,2.6,1,4.507089
2,2.2,0,11.28256
2,1.6,1,6.730422
2,2.6,1,19.25938
2,1.8,1,18.34452
2,2,1,4.954722
2,2.6,1,7.73363
2,1.6,0,24.74506
2,2.2,1,9.03212
2,2.2,1,8.112645
2,2.4,1,10.7652
2,2.2,1,10.01561
2,1.4,0,10.39872
2,2.4,1,26.43069
