2,1.6,0,6.930784
2,2.6,1,4.155161
2,2.2,1,7.512435
2,1.4,0,9.461202
1.6,2,1,7.679842
2,2.4,1,6.463899
1.8,2,1,3.522124
2,1.8,0,4.850233
2.6,2,0,5.094554
2,2,1,2.724027
2,2.4,1,7.083893
2,2,1,9.273743
1.4,2,1,4.221998
2,1.4,0,8.470322
2,2,0,0.4567165
2,2.6,1,1.260332
2,1.4,0,2.78785
2,2.4,1,2.843389
1.4,2,1,3.018154
2,1.8,1,2.894218
2,1.6,0,1.573698
1.6,2,1,6.663016
2,2.4,1,6.880223
2,1.6,0,3.894574
1.6,2,1,4.449619
2,2,0,9.680576
2,2,1,6.265165
1.4,2,1,3.868202
2.4,2,0,6.640046
2,2.2,1,3.011679
2,2,1,3.723752
1.6,2,1,5.293607
2,2,1,6.867501
2,1.4,0,4.020172
2,2.2,0,9.440445
2.6,2,0,3.250878
1.8,2,1,5.925005
2,2.4,1,5.570406
2,2,1,7.53379
2.6,2,0,5.42544
2.6,2,0,3.57295
2.6,2,0,2.760076
2.6,2,0,1.331665
2,1.8,0,7.061048
2.2,2,0,7.972666
2,2.6,1,5.024776
2,1.6,1,7.718879
1.8,2,1,10.00915
1.8,2,1,5.743276
1.8,2,1,5.738639
2,2.2,1,8.747571
2,2.4,1,4.797761
1.4,2,1,4.573456
2,2,0,2.90285
2.2,2,0,7.007762
2.2,2,0,7.473136
2.6,2,0,6.107355
2.4,2,0,4.776091
1.6,2,1,5.460269
2,1.6,0,6.678874
2.2,2,1,3.590192
2,2.2,0,2.994131
2.2,2,0,2.633817
1.8,2,1,5.147034
1.4,2,1,2.507381
2,1.4,0,3.572722
2,2.4,1,5.825242
2,2,1,9.298263
2.4,2,0,1.376733
2,1.8,0,8.465803
