2,1.8,0,12.16772
2,2.4,0,13.41544
2,2.2,0,11.84109
2,2.6,1,8.610961
2,2,1,15.45877
2,1.4,0,17.2491
1.6,2,0,6.90011
2,2.4,1,11.75437
1.4,2,1,12.9311
2,1.6,0,8.570972
2,2,0,9.32263
2,1.8,0,9.863112
2.2,2,0,17.53997
2,2.6,1,8.235948
1.4,2,1,7.77567
2,2.2,1,12.70315
2,2.4,1,5.465652
2,1.8,0,4.598888
2,2,1,7.165867
2,1.6,0,6.171115
2,2.6,1,6.512911
1.8,2,1,11.34552
2,1.4,0,7.577122
2,2,1,4.489849
2.4,2,1,8.12458
2.6,2,0,12.77023
2,1.6,0,9.678076
2.2,2,0,6.778334
2,2,0,5.645202
2,1.4,0,6.198074
1.6,2,1,7.183297
2.6,2,0,11.13389
2,2.2,1,12.14189
2,1.8,1,9.663361
2,2.4,1,12.0398
1.8,2,0,10.6323
1.4,2,1,5.534047
2,2.6,0,4.524438
2.4,2,0,7.185754
2,2,0,11.72398
1.6,2,1,12.30525
2.2,2,0,8.683026
1.6,2,1,11.33315
2,2.6,1,8.658918
1.4,2,1,12.46681
2,2,0,20.38815
2,2.2,1,8.331764
2.4,2,0,3.04912
1.8,2,0,13.47721
2.2,2,1,12.27645
2,1.6,0,4.391748
2,2.4,1,3.328421
1.4,2,1,6.347016
2,1.8,0,3.222758
2.6,2,0,11.27307
2,2,0,9.159389
1.6,2,1,9.642965
1.4,2,1,6.11697
2.2,2,0,10.57835
2,1.8,0,4.239334
2.6,2,0,5.292754
2,2,0,10.8975
2.4,2,1,2.682196
1.6,2,1,3.559012
1.8,2,1,3.081108
2,2.4,1,6.369002
2,2.2,0,11.26353
2,2,1,6.702961
1.4,2,1,5.659314
2,2.6,1,4.648744
