2,1.6,0,8.429899
2,2.6,1,6.73349
2,2.2,1,5.803128
2,1.4,0,4.629686
1.6,2,1,10.71382
2,2.4,1,5.637873
1.8,2,0,28.74526
2,1.8,0,4.420653
2.6,2,0,7.56949
2,2,1,3.332718
2,2.4,1,26.15043
2,2,0,15.8921
1.4,2,1,4.413865
2,1.4,0,3.715831
2,2,1,27.35888
2,2.6,1,7.685946
2,1.4,0,2.751096
2,2.4,1,5.080494
1.4,2,1,4.089497
2,1.8,0,10.00369
2,1.6,0,4.951009
1.6,2,1,7.558715
2,2.4,1,5.527025
2,1.6,0,2.908859
1.6,2,1,6.62115
2,2,-1,30.02205
2,2,0,7.39856
1.4,2,1,2.30884
2.4,2,0,5.741827
2,2.2,1,14.67402
2,2,0,11.16148
1.6,2,1,15.71228
2,2,0,5.163614
2,1.4,0,3.893664
2,2.2,1,23.93252
2.6,2,0,11.07662
1.8,2,0,9.866703
2,2.4,1,2.917283
2,2,1,17.98768
2.6,2,0,6.371444
2.6,2,0,4.63025
2.6,2,0,9.823115
2.6,2,0,12.31774
2,1.8,0,6.932363
2.2,2,0,12.9205
2,2.6,1,4.155559
2,1.6,0,12.48694
1.8,2,1,19.45614
1.8,2,1,4.535712
1.8,2,1,12.42899
2,2.2,1,5.471642
2,2.4,1,7.089878
1.4,2,1,9.06067
2,2,1,6.912588
2.2,2,0,15.44076
2.2,2,-1,30.0208
2.6,2,0,15.2155
2.4,2,0,5.728424
1.6,2,1,2.517242
2,1.6,0,4.996502
2.2,2,0,4.389623
2,2.2,1,12.19034
2.2,2,0,8.428274
1.8,2,1,12.59583
1.4,2,1,4.694404
2,1.4,0,2.472918
2,2.4,1,2.420971
2,2,0,9.427423
2.4,2,0,4.908402
2,1.8,0,9.896059
